Sample,Best Accuracy,Best Params
S1,0.9728333333333333,"{'kernel': 'rbf', 'nu': 0.01091321533781647}"
S2,0.9481666666666667,"{'kernel': 'poly', 'nu': 0.016685609173200753}"
S3,0.9696666666666667,"{'kernel': 'rbf', 'nu': 0.01145259207891994}"
S4,0.9695,"{'kernel': 'rbf', 'nu': 0.017042203812320536}"
S5,0.9653333333333334,"{'kernel': 'rbf', 'nu': 0.028864719552798013}"
S6,0.971,"{'kernel': 'rbf', 'nu': 0.02845683795601642}"
S7,0.9668333333333333,"{'kernel': 'rbf', 'nu': 0.02307483825426096}"
S8,0.9706666666666667,"{'kernel': 'rbf', 'nu': 0.010187367132822459}"
S9,0.9688333333333333,"{'kernel': 'rbf', 'nu': 0.036090231578583924}"
S10,0.9705,"{'kernel': 'rbf', 'nu': 0.012347602301466358}"
